textbook|教科书；课本
conversation|交谈；谈话
aloud|大声地；出声地
pronunciation|发音；读音
sentence|句子     
patient|有耐心的   病人
expression|表达（方式）；表示  
discover|发现；发觉
secret|秘密； 秘密的；
fall in love with|爱上；与⋯⋯相爱
grammar|语法   
repeat|重复；重做   
note|笔记；记录  注意；指出
pal|朋友；伙伴
pattern|模式；方式
physics|物理；物理学
chemistry|化学     
partner|搭档；同伴
pronounce|发音
increase|增加；增长
speed|速度  加速    
ability|能力；才能  
brain|大脑       
active|活跃的；积极的
attention|注意；关注
pay attention to|注意；关注   
connect|（使）连接；与⋯⋯有联系
connect … with|把⋯⋯和⋯⋯连接或联系起来
overnight|一夜之间；在夜间
review|回顾；复习
knowledge|知识；学问
wisely|明智地；聪明地  
Annie|安妮（女名）    
Alexander Graham Bell|格雷厄姆 • 贝尔  
	
lantern|灯笼
stranger|陌生人
relative|亲属；亲戚    
put on|增加（体重）；发胖       
pound|磅（重量单位）；英镑
folk|民间的；民俗的
goddess|女神
steal|偷；窃取
lay|放置；安放；产（卵）；下（蛋）
lay out|摆开；布置
dessert|（饭后）甜点；甜食
garden|花园；园子
admire|欣赏；仰慕
tie|领带  捆；束    
haunted|有鬼魂出没的；闹鬼的
ghost|鬼；鬼魂      
trick|花招；把戏       
treat|款待；招待 招待；请客
spider|蜘蛛  
Christmas|圣诞节      
fool|蠢人；傻瓜  愚弄  愚蠢的
lie|平躺；处于
novel|（长篇）小说
eve|（尤指宗教节假日的）前夕；前夜
bookstore|书店
dead|死的；失去生命的
business|生意；商业
punish|处罚；惩罚     
warn|警告；告诫  
present|现在；礼物 现在的
nobody|没有人
warmth|温暖；暖和
spread|传播；展开  蔓延；传播
Macao|澳门
Chiang Mai|清迈（泰城市）
Halloween|万圣节前夕  
Valentine’s Day|情人节
Clara|克拉拉（女名）
Santa Claus|圣诞老人
Charles Dickens|查尔斯 • 狄更斯（英）
Scrooge|斯克鲁奇（非正式）吝啬鬼
Jacob Marley|雅各布 • 马利
	
restroom|（美）洗手间；公共厕所
stamp|邮票；印章
postcard|明信片
pardon|请再说一遍；
washroom|洗手间；厕所
bathroom|浴室；洗手间
quick|快的；迅速的  
rush|仓促；急促  
suggest|建议；提议   
staff|管理人员；职工
grape|葡萄
central|中心的；中央的
mail|邮寄；发电子邮件 邮件
east|东方的 向东；东方
fascinating|迷人的；有吸引力的
convenient|便利的；方便的
mall|商场；购物中心      
clerk|职员  
corner|拐角；角落
polite|有礼貌的；客气的
politely|礼貌地；客气地
speaker|讲（某种语言）的人；发言者
request|要求；请求
choice|选择；挑选
direction|方向；方位
correct|正确的；恰当的
direct|直接的；直率的
whom|谁；什么人           
address|地址；通讯处
faithfully|忠实地；忠诚地
Italian|意大利人的； 意大利人语
Kevin|凯文（男名）      
Tim|蒂姆（男名）      
humorous|有幽默感的；滑稽的
silent|不说话的；沉默的
helpful|有用的；有帮助的
from time to time|时常；有时
score|得分；打分
background|背景
interview|采访；面试访谈
Asian|亚洲的； 亚洲人
deal with|对付; 应付          
dare|敢于；胆敢
private|私人的；私密的
guard|警卫；看守 守卫；保卫
require|需要；要求    
European|欧洲人的
British|英国的；英国人的
speech|讲话；发言         
ant|蚂蚁                  
insect|昆虫           
influence|影响  
seldom|不常；很少
proud|自豪的；骄傲的
be proud of|为⋯⋯骄傲；感到自豪
absent|缺席；不在    
fail|失败；未能（做到）
examination|考试；审查
boarding school|寄宿学校
in person|亲身；亲自               
exactly|确切地；精确地
pride|自豪；骄傲           
take pride in|为⋯⋯感到自豪
grandson|孙子；外孙
general|普遍的；常规的；总的  将军
introduction|介绍   
Paula|葆拉 （女名）   
Alfred|艾尔弗雷德（男名）
Billy|比利（男名）          
Candy|坎迪（女名）       
Jerry|杰里（男名）；杰丽（女名）
Emily|埃米莉（女名）         
material|材料；原料    
chopsticks|筷子
coin|硬币  
fork|餐叉，叉子
blouse|（女士）短上衣；衬衫
sliver|银，银器；银色的  
glass|玻璃   
cotton|棉；棉花
steel|钢；钢铁
grass|草；草地  
leaf|叶，叶子
produce|生产；制造；出产
widely|广泛地；普遍地
process|加工；处理
France|法国        
no matter|不论;无论          
local|当地的；本地的
even though|虽然；即使        
brand|品牌；牌子      
avoid|避免；回避   
product|产品；制品
handbag|小手提包       
mobile|可移的；非固定的
Germany|德国
surface|表面；表层       
postman|邮递员
cap|（.尤指有帽舌的）帽子
glove|（分手指的）手套
international|国际的
competitor|参赛者；竞争者               
paint|用颜料画；刷漆    
its|它的             
form|形式；类型    
clay|黏土；陶土       
balloon|气球     
scissors|() 剪刀
lively|生气勃勃的;（色彩）鲜艳的
fairy tale|童话故事
heat|热；高温                
polish|磨光；修改；润色      
complete|完成          
Korea|朝鲜；韩国
Switzerland|瑞士
San Francisco|圣弗朗西斯科（旧金山，美国城市）
Pam|帕姆（女名）              
heel|鞋跟；足跟       
electricity|电；电能
scoop|勺; 铲子         
style|样式; 款式         
project|项目；工程
pleasure|高兴；愉快
zipper|拉链；拉锁
daily|每日的；日常的
website|网站        
pioneer|先锋；先驱
list|列表；列清单 名单；清单
mention|提到；说到     
by accident|偶然；意外地
nearly|几乎；差不多
boil|煮沸；烧开          
smell|气味 发出气味；闻到
saint|圣人；圣徒    
take place|发生；出现  
doubt|疑惑；疑问  怀疑
without doubt|毫无疑问；的确   
fridge|冰箱              
translate|翻译         
lock|锁上；锁住      
earthquake|地震  
sudden|突然（的）    
all of a sudden|突然; 猛地       
biscuit|饼干          
cookie|曲奇饼干        
instrument|器械；仪器；工具           
crispy|脆的；酥脆的
sour|酸的；有酸味的
by mistake|错误地；无意中   
customer|顾客；客户
Canadian|加拿大; 人的  
divide|分开；分散
divide... into|把⋯⋯分开           
purpose|目的；目标
basket|篮；筐
the Olympics|奥林匹克运动会
look up to|钦佩；仰慕
hero|英雄；男主角
Berlin|柏林（德国城市）

smoke|冒烟；吸烟   烟
pierce|扎；刺破；穿透
license|证；证件
licence|证；证件
safety|安全；安全性
earring|耳环；耳饰  
cry|哭；叫喊 
field|田野；场地          
hug|拥抱；搂抱       
lift|举起；抬高           
talk back|回嘴；顶嘴   
awful|很坏的；讨厌的
teen|十几岁（十三至十九岁之间）
regret|感到遗憾；懊悔     
poem|诗；韵文          
bedroom|卧室     
community|社区；社团
keep away from|避免接近；远离
chance|机会；可能性
make one’s own decision|自己做决定  
manage|设法做到；应付（困难局面）
society|社会
unit|单位；单元       
educate|教育；教导  
get in the way of|挡……的路；妨碍
professional|职业的；专业的  
enter|进来；进去  
support|支持      
Picasso|毕加索（西班牙画家）
	
truck|卡车；货车      
rabbit|兔；野兔         
whose|谁的；（特）那个人的                        
attend|出席；参加
valuable|很有用的；宝贵的
pink|粉红色的 粉红色 
picnic|野餐                                      
somebody|某人；重要人物
anybody|任何人
noise|声音；噪音  
policeman|男警察
wolf|狼             
laboratory|实验室
coat|外套；外衣        
sleepy|困倦的；瞌睡的   
pocket|衣袋；口袋
alien|外星人           
suit|西服；套装   
express|表示；表达   
not only … but also|不但……，而且
circle|圆圈  圈出  
Britain|大不列颠
receive|接受；收到      
leader|领导；领袖
midsummer|仲夏；中夏
medical|医疗的；医学的
prevent|阻止；阻挠
energy|精力；力量
position|位置；地方
burial|埋葬；安葬      
honor|尊重；表示敬意  荣幸
honour|尊重；表示敬意  荣幸
ancestor|祖宗；祖先
victory|胜利；成功
enemy|敌人；仇人   
period|一段时间；时期
mystery|奥秘；神秘事物   
Stonehenge|巨石阵
Carla|卡拉（女名）       
Rowling|罗琳（英国作家）              
Victor|维克托（男名）  
Jean|琼（女名）      
Paul Stoker|保罗 • 斯托克
	
prefer|更喜欢
Lyrics|歌词       
Australian|澳大利亚;人的 澳大利亚人
electronic|电子(设备)的   
suppose|推断；料想   
smooth|平滑的；悦耳的
spare|空闲的；不用的
case|情况；实情         
in that case|既然那样；假使那样的话
war|战争；战争状态  
director|导演；部门负责人
dialogue|对话；对白	 
dialog|对话；对白
documentary|纪录片  
drama|戏；剧        
plenty|大量；众多  
plenty of|大量；充足           
shut|关闭；关上
superhero|超级英雄
horror|震惊；恐惧
thriller|惊险电影（小说、戏剧
intelligent|有才智的；聪明的
sense|感觉到；意识到 感觉；意识
pain|痛苦；苦恼            
reflect|反映；映出  
perform|表演；执行
amazing|令人惊奇;喜的
pity|遗憾；怜悯              
total|总数；合计 总的；全体的
in total|总共；合计      
master|能手；主人  掌握
praise|表扬；赞扬
national|国家的；民族的
recall|回忆起；回想起     
wound|伤；伤口；创伤     
World War II|二战    
Titanic|《泰坦尼克号》（电影名）
Carmen|卡门（女名）  
Dan Dervish|丹 • 德维什
custom|风俗；习俗
bow|鞠躬              
kiss|亲吻；接吻        
greet|和⋯⋯打招呼；迎接      
value|重视；珍视 价值   
everyday|每天的；日常的
drop by|顺便访问；随便进入     
capital|首都；国都    
noon|正午；中午          
mad|很生气；疯的       
get mad|大动肝火；气愤          
make an effort|作出努力
traffic|交通；路上行驶的车辆
somewhere|在某处；到某处
passport|护照         
chalk|粉笔       
blackboard|黑板
northern|北方的；北部的
coast|海岸；海滨        
season|季；季节         
knock|敲；击      
eastern|东方的；东部的
worth|值得；有价值（的）
manner|方式；方法() 礼貌；礼仪   
empty|空的；空洞的
basic|基本的；基础的
exchange|交换   
go out of one’s way|特地；格外努力
make... feel at home|使（某人）感到宾至如归
granddaughter|（外）孙女
behave|表现；举止           
except|除……之外  除了；只是                
elbow|肘；胳膊  
gradually|逐步地；渐进地
suggestion|建议           
Brazil|巴西              
Mexico|墨西哥            
Cali|卡利（哥伦比亚城市）
Colombia|哥伦比亚（南美洲国家）
Lausanne|洛桑（瑞士城市）
Norway|挪威        
Maria|玛丽亚（女名）
Katie|凯蒂（女名）      
Sato|佐藤（日本姓氏）   
Marie|玛丽（女名）；马里（男名）
Teresa Lopez|特蕾莎 • 洛佩斯
MarcLeBlanc|马克 • 勒布朗
the more … the more|越……越……
leave out|不包括；不提及；忽略     
friendship|友谊；友情
king|君主；国王     
prime|首要的；基本的
minister|大臣；部长
prime minister|首相；大臣         
fame|名声；声誉         
pale|苍白的；灰白的   
queen|王后；女王     
examine|（.仔细地）检查；检验
nor|也不  
neither... nor|既不⋯⋯也不         
palace|王宫；宫殿      
power|权利；力量
wealth|财富；富裕    
grey|阴沉的；昏暗的；灰色的
lemon|柠檬   
cancel|取消；终止       
weight|重量；分量   
shoulder|肩；肩膀
goal|球门；射门；目标
coach|教练；私人教师
kick|踢；踹                
teammate|同队队员；队友
courage|勇敢；勇气
rather|宁愿；相当
rather than|而不是         
pull|拉；拖         
pull together|齐心协力；通力合作
relief|轻松；解脱    
nod|点头        
agreement|（意见或看法）一致；同意           
fault|过失；缺点   
disappoint|使失望      
Bert|伯特（男名）
Holly|霍莉（女名）     
backpack|背包；旅行包
oversleep|睡过头
give... a lift|捎（某人）一程
miss|错过；未得到
unexpected|出乎意料的；始料不及的
block|街区  
worker|工作者；工人
stare|盯着看；凝视
disbelief|不信；怀疑
above|在上面；向上面pre在上面
burn|着火；燃烧
alive|活着；有生气的
take off|（飞机等）起飞；匆忙离开
till|到；直到    
west|向西；朝西 向西的；西部的   西；西方
cream|奶油；乳脂
boss|老板；领导    
pie|果馅饼；果馅派  
course|课程      
bean|豆；豆荚     
market|市场；集市     
costume|服装；装束
embarrassed|窘迫的；害羞的
announce|宣布；宣告
spaghetti|意大利面条
hoax|骗局；恶作剧     
discovery|发现；发觉
lady|女士；女子
officer|军官；官员
believable|可相信的；可信任的
embarrassing|使人害羞的（难堪的或惭愧的）     
New Zealand|新西兰    
Italy|意大利
Mars|火星
Carl|卡尔（男名）
OrsonWelles|奥森 • 韦尔斯
litter|乱扔  垃圾；废弃物
bottom|底部；最下部        
fisherman|渔民；钓鱼的人
coal|煤；煤块
public|公众的；公共的  民众；百姓
ugly|丑陋的；难看的
advantage|优点；有利条件
cost|花费 花费；价钱
wooden|木制的；木头的
plastic|塑料的 塑料；塑胶
make a difference|有关系，作用，影响  
shark|鲨鱼
fin|（.鱼）鳍
cut off|割掉；砍掉                    
method|方法；措施
cruel|残酷的；残忍的
harmful|有害的       
chain|链子；链条     
ecosystem|生态系统
low|（.数量等）减少的；低的；矮的
industry|工业；行业
law|法律；法规
reusable|可重复使用的；可再次使用的
afford|承担得起（后果）；买得起
transportation|运输业；交通运输
recycle|回收利用；再利用
napkin|餐巾；餐巾纸
upside down|颠倒；倒转    
gate|大门       
bottle|瓶；瓶子
president|负责人；主席；总统
inspiration|灵感；鼓舞人心的人（或事物）
metal|金属             
creativity|创造力；独创性
WildAid|野生救援协会（美国）
WWF|世界自然基金会
Mark|马克（男名）
Jason|贾森（男名）     
Ken|肯（男名）       
Hayes|海斯（姓）            
Jessica|杰茜卡（女名）   
survey|调查     
standard|标准；水平  
row|一排；一列；一行     
in a row|连续几次地               
keyboard|琴键；键盘
instruction|指示；命令
double|加倍；是⋯⋯的两倍   两倍的；加倍的  
shall	modal|将要；将会
overcome|克服；战胜
make a mess|弄得一团糟，一塌糊涂  
graduate|毕业；获得学位
keep one’s cool|沉住气；保持冷静
ours|我们的     
senior|级别（或地位）高的
senior high|(school)	高中       
text|课文；文本      
level|标准；水平      
degree|（大学）学位；度数；程度
manager|经理；经营者
believe in|信任；信赖          
gentleman|先生
graduation|毕业
ceremony|典礼；仪式
congratulate|祝贺
thirsty|口渴的；渴望的
none|没有一个；毫无
task|任务；工作
ahead|向前面；在前面
responsible|有责任的
be responsible for|对……负责任
separate|单独的；分离的  分开
wing|翅膀；翼       
Brian|布赖恩（男名）
Luke|卢克（男名）      
Griffin|格里芬（姓）    
Trent|特伦特（姓）
